species_index,code_alpha,SDHTCR,SDHPCF,SDCR,SDHL4
1,WB,0.000231,-5e-05,0.001711,0.17023
2,LM,0.000231,-5e-05,0.001711,0.17023
3,DF,-0.28654,0.13469,0.002736,0.00036
4,PM,0.0,0.0,0.0,0.0
5,BS,0.04125,0.17486,-0.002371,-0.0007
6,AS,-0.41227,0.16944,0.003191,-0.0022
7,LP,-0.41227,0.16944,0.003191,-0.0022
8,ES,0.04125,0.17486,-0.002371,-0.0007
9,AF,-0.15906,0.15323,0.0,0.0
10,PP,0.0,0.0,0.0,0.0
11,UJ,0.0,0.0,0.0,0.0
12,RM,0.0,0.0,0.0,0.0
13,BI,0.0,0.0,0.0,0.0
14,MM,0.0,0.0,0.0,0.0
15,NC,0.0,0.0,0.0,0.0
16,MC,0.0,0.0,0.0,0.0
17,OS,0.000231,-5e-05,0.001711,0.17023
18,OH,0.0,0.0,0.0,0.0
