species_index,code_alpha,B0ACCF,B1ACCF,B0BCCF,B1BCCF,B0ASTD,B1BSTD
1,WB,1.17527,-0.42124,-2.56002,-0.58642,1.0872,-0.0023
2,LM,1.17527,-0.42124,-2.56002,-0.58642,1.0872,-0.0023
3,DF,-4.35709,0.67307,-2.49682,-0.51938,1.13785,-0.00185
4,PM,0.0,0.0,0.0,0.0,0.0,0.0
5,BS,-0.55052,-0.02858,-2.26007,-0.67115,1.0973,-0.0013
6,AS,0.0,0.0,0.0,0.0,0.0,0.0
7,LP,-0.90086,0.16996,-1.50963,-0.61825,1.00749,-0.00435
8,ES,-0.55052,-0.02858,-2.26007,-0.67115,1.0973,-0.0013
9,AF,-4.35709,0.67307,-2.49682,-0.51938,1.13785,-0.00185
10,PP,0.0,0.0,0.0,0.0,0.0,0.0
11,UJ,0.0,0.0,0.0,0.0,0.0,0.0
12,RM,0.0,0.0,0.0,0.0,0.0,0.0
13,BI,0.0,0.0,0.0,0.0,0.0,0.0
14,MM,0.0,0.0,0.0,0.0,0.0,0.0
15,NC,0.0,0.0,0.0,0.0,0.0,0.0
16,MC,0.0,0.0,0.0,0.0,0.0,0.0
17,OS,1.17527,-0.42124,-2.56002,-0.58642,1.0872,-0.0023
18,OH,0.0,0.0,0.0,0.0,0.0,0.0
