species_index,code_alpha,code_fia,code_plants,ht1,ht2,wykoff_ht2,bark1,bark2,bark_imap,dg_resid_sd,dbh_min,top_dib,stump,scf_min_dbh,scf_top_dib,scf_stump,bf_min_dbh,bf_top_dib,bf_stump,dbh_max,is_sprouting,v2t
1,WB,101,PIAL,4.1920,-5.1651,-5.1651,0.969,0.0,2,0.46710,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,22.5
2,LM,113,PIFL2,4.1920,-5.1651,-5.1651,0.969,0.0,2,0.46710,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,22.5
3,DF,202,PSME,4.5175,-6.5129,-6.5129,0.867,0.0,2,0.48664,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,28.1
4,PM,133,PIMO,3.2000,-5.0000,-5.0000,0.0,0.0,1,0.2,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,31.8
5,BS,96,PIPU,4.5822,-6.4818,-6.4818,0.956,0.0,2,0.47645,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,20.6
6,AS,746,POTR5,4.4625,-5.2223,-5.2223,0.969,0.0,2,0.48657,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,1,21.8
7,LP,108,PICO,4.4625,-5.2223,-5.2223,0.969,0.0,2,0.48657,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,23.7
8,ES,93,PIEN,4.5822,-6.4818,-6.4818,0.956,0.0,2,0.47645,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,20.6
9,AF,19,ABLA,4.3603,-5.2148,-5.2148,0.937,0.0,2,0.44065,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,19.3
10,PP,122,PIPO,4.993,-12.430,-12.430,0.809427,1.016866,4,0.230,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,23.7
11,UJ,65,JUOS,3.2000,-5.0000,-5.0000,0.0,0.0,1,0.2,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,34.9
12,RM,66,JUSC2,3.2000,-5.0000,-5.0000,0.0,0.0,1,0.2,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,34.9
13,BI,322,ACGR3,4.7000,-6.3260,-6.3260,0.94782,0.0836,3,0.5107,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,1,27.4
14,MM,321,ACGL,4.4421,-6.5405,-6.5405,0.95,0.0,2,0.3750,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,1,30.6
15,NC,749,POAN3,4.4421,-6.5405,-6.5405,0.892,-0.086,3,0.2,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,1,19.3
16,MC,475,CELE3,5.1520,-13.5760,-13.5760,0.9,0.0,2,0.5357,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,21.8
17,OS,299,2TN,4.1920,-5.1651,-5.1651,0.969,0.0,2,0.46710,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,22.5
18,OH,998,2TB,4.4421,-6.5405,-6.5405,0.892,-0.086,3,0.2,1.0,4.0,1.0,1.0,4.0,1.0,7.0,6.0,1.0,999.0,0,19.3
