species_index,DGLD,DGCR,DGCRSQ,DGPCCF,DGBA,DGBAL,DGDBAL,ISMAP,IBSERV_1,IBSERV_2,IBSERV_3,IBSERV_4,IBSERV_5,OBSERV,DGCCFA,MAPLOC_1,MAPLOC_2,MAPLOC_3,MAPLOC_4,MAPLOC_5,MAPLOC_6,DGFOR_1,DGFOR_2,DGFOR_3,DGFOR_4,DGFOR_5,MAPDSQ_1,MAPDSQ_2,MAPDSQ_3,MAPDSQ_4,MAPDSQ_5,MAPDSQ_6,DGDS_1,DGDS_2,DGDS_3,DGDS_4,DGCASP,DGSASP,DGSLOP,DGSLSQ,DGEL,DGEL2,IDGSIM_1,IDGSIM_2,IDGSIM_3,IDGSIM_4,IDGSIM_5,IDGSIM_6,IDGSIM_7,DGSIC_1,DGSIC_2,DGSIC_3,DGSIC_4,DGSIC_5
1,0.213947,1.523464,0.0,0.0,0.0,-0.358634,0.0,1,27,70,123,101,33,0.0,-0.199592,1,1,1,1,1,1,1.911884,0.0,0.0,0.0,0.0,1,1,1,1,1,1,-0.0006538,0.0,0.0,0.0,-0.609774,-0.017520,-2.057060,2.113263,0.0,0.0,1,1,1,1,1,1,1,0.001766,0.0,0.0,0.0,0.0
2,0.213947,1.523464,0.0,0.0,0.0,-0.358634,0.0,1,27,70,123,101,33,0.0,-0.199592,1,1,1,1,1,1,1.911884,0.0,0.0,0.0,0.0,1,1,1,1,1,1,-0.0006538,0.0,0.0,0.0,-0.609774,-0.017520,-2.057060,2.113263,0.0,0.0,1,1,1,1,1,1,1,0.001766,0.0,0.0,0.0,0.0
3,0.479631,3.182592,-1.310144,-0.001613,0.0,-0.707380,0.0,2,202,541,323,103,42,0.0,0.0,1,2,2,2,3,4,0.192136,-0.064516,0.477698,0.589169,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.015235,0.022753,-0.532905,-0.086518,0.0,0.0,1,2,1,2,1,1,1,0.010968,0.006827,0.199457,0.0,0.0
4,0.827167,-0.207507,1.578941,-0.000428,0.0,-0.010478,0.0,6,283,45,49,24,12,0.0,-0.098821,1,2,3,3,4,4,-0.061856,-0.130667,-0.314746,0.421806,0.0,1,1,1,1,1,1,-0.000018,0.0,0.0,0.0,0.012704,-0.082731,-1.133123,1.931351,0.0,0.0,1,2,1,1,1,1,2,0.017663,0.005327,0.0,0.0,0.0
5,0.587579,0.331129,0.816301,0.0,0.0,-0.399357,0.0,4,586,544,272,95,32,0.0,-0.043414,1,1,1,2,3,4,0.011943,0.265071,-0.094861,0.796948,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,-0.198194,-0.122483,0.240433,0.0,0.0,0.0,1,2,2,2,2,2,2,0.015133,0.021085,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,184,429,356,162,74,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,0.006460,0.0,0.0,0.0,0.0
7,0.587503,2.148640,-0.598897,-.000467,0.0,-0.192073,0.0,1,865,1023,372,10,1,0.0,-0.407523,1,1,1,1,2,3,-0.256987,-0.425846,0.530457,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,-0.168522,0.128610,0.120589,-.266226,0.0,0.0,1,1,1,2,2,2,2,0.021764,0.027956,0.0,0.0,0.0
8,0.587579,0.331129,0.816301,0.0,0.0,-0.399357,0.0,4,586,544,272,95,32,0.0,-0.043414,1,1,1,2,3,4,0.011943,0.265071,-0.094861,0.796948,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,-0.198194,-0.122483,0.240433,0.0,0.0,0.0,1,2,2,2,2,2,2,0.015133,0.021085,0.0,0.0,0.0
9,0.833096,1.422919,0.225676,-.000200,0.0,-0.182808,0.0,3,203,432,397,126,84,0.0,0.0,1,2,1,1,1,3,-0.467188,-0.638653,0.116430,0.0,0.0,1,1,1,1,1,1,-0.0001672,0.0,0.0,0.0,-0.232267,-0.192975,0.383578,-0.333955,0.0,0.0,1,1,2,2,3,2,2,0.004468,0.008147,-0.015283,0.0,0.0
10,0.733305,1.315804,0.238917,-.002576,0.0,-0.320124,0.0,7,289,241,41,24,5,0.0,0.0,1,2,2,3,3,3,-0.13235,-0.460129,-0.302309,0.0,0.0,1,2,1,1,1,1,-0.0005345,-0.0006363,0.0,0.0,-0.411292,-0.287654,0.016965,2.282665,0.0,0.0,1,1,1,1,1,2,3,0.019282,0.049804,0.02943,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1000,1000,1000,1000,1000,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1000,1000,1000,1000,1000,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1000,1000,1000,1000,1000,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1000,1000,1000,1000,1000,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1000,1000,1000,1000,1000,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
