species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum,snag_decayx,snag_fallx,snag_alldwn,biogrp,bio_group
1,14,22.5,15,3,4,2,1,0.9,1.0,150,4,4
2,11,22.5,15,3,4,2,1,0.9,1.0,150,4,4
3,3,26.8,15,5,3,2,1,1.1,1.0,100,2,2
4,4,23.1,15,7,4,2,1,0.9,2.5,40,3,3
5,18,20.6,10,6,4,2,1,0.9,1.0,100,5,5
6,41,21.8,10,1,4,1,1,0.9,4.0,5,6,6
7,11,23.7,15,3,4,2,1,0.9,1.0,150,4,4
8,18,20.6,10,6,4,2,1,0.9,1.0,100,5,5
9,1,19.3,15,7,4,2,1,0.9,2.5,40,3,3
10,13,23.7,10,4,4,2,1,1.0,1.0,150,4,4
11,12,31.8,15,3,4,2,1,0.9,1.0,150,4,4
12,16,34.9,20,4,2,2,1,0.9,1.0,150,10,10
13,22,39.6,15,1,2,1,1,0.9,2.5,40,10,10
14,12,31.8,15,3,4,2,1,0.9,1.0,150,4,4
15,16,34.9,20,4,2,2,1,0.9,1.0,150,10,10
16,16,34.9,20,4,2,2,1,0.9,1.0,150,10,10
17,9,23.7,20,3,4,2,1,0.9,0.001,999,4,4
18,17,19.3,10,1,4,1,1,0.9,4.0,5,6,6
19,17,19.3,10,1,4,1,1,0.9,4.0,5,6,6
20,41,21.8,15,1,4,2,1,1.0,1.0,100,10,10
21,5,21.8,15,1,4,2,1,1.0,1.0,100,7,7
22,50,19.3,10,1,4,1,1,0.9,4.0,5,6,6
23,14,22.5,15,3,4,2,1,0.9,1.0,150,4,4
24,22,39.6,15,1,2,1,1,0.9,2.5,40,10,10
