K,COF1,COF2,COF3,COF4,COF5,COF6,COF7,COF8,COF9
1,+37.0,85.0,1.77836,-0.51147,1.88795,1.20654,0.57697,+3.57635,0.90283
2,+45.0,100.0,1.66674,0.25626,1.45477,1.11251,0.67375,+2.17942,0.88103
3,+45.0,90.0,1.64770,0.30546,1.35015,0.94823,0.70453,+2.46480,1.00316
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,+37.0,85.0,1.77836,-0.51147,1.88795,1.20654,0.57697,+3.57635,0.90283
7,+45.0,100.0,1.66674,0.25626,1.45477,1.11251,0.67375,+2.17942,0.88103
8,+45.0,90.0,1.64770,0.30546,1.35015,0.94823,0.70453,+2.46480,1.00316
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,+50.0,95.0,1.03766,-0.10314,1.16073,1.02648,0.83396,+2.56902,0.94303
12,+60.0,110.0,1.63201,0.32350,1.30538,1.33112,0.81870,+2.13984,0.80286
13,+55.0,105.0,1.31790,-0.36654,1.38496,1.18264,0.83039,+3.43941,0.97246
14,+50.0,110.0,1.00167,-0.55765,1.37084,1.29851,0.78167,+2.80787,0.82521
15,+38.0,110.0,0.38147,-0.67042,1.13209,0.92190,0.83348,+2.92151,1.02351
16,+50.0,97.0,1.54,0.26509,1.41204,1.25972,0.7448,+2.01391,0.83486
17,+50.0,97.0,1.25483,0.162,1.23576,1.22028,0.84747,+2.09323,0.85822
18,+50.0,100.0,1.54368,-0.23177,1.46073,1.11638,0.79410,+3.69006,1.03903
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,+60.0,105.0,2.43099,0.20403,1.28447,0.99886,0.79629,+5.66171,1.02398
22,+70.0,120.0,1.85710,-0.10692,1.40067,1.16053,0.78576,+3.85554,0.94853
23,+70.0,130.0,1.51547,0.30923,1.30655,1.23707,0.86427,2.24521,+0.91281
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,+30.0,85.0,2.00995,0.03288,1.81059,1.28612,0.72051,+3.00551,1.01433
27,+30.0,85.0,2.00995,0.03288,1.81059,1.28612,0.72051,+3.00551,1.01433
28,+35.0,85.0,1.80388,-0.07682,1.70032,1.29148,0.72343,+2.91519,0.95244
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,+30.0,80.0,1.85047,-0.25580,1.67170,1.53660,0.72508,+2.82825,0.78883
32,+35.0,93.0,1.49353,0.08644,1.61150,1.57042,0.73267,+1.89981,0.75184
33,+30.0,80.0,0.85472,0.14709,1.31510,1.22489,0.83830,+1.59182,0.90003
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,+50.0,105.0,1.84149,0.43562,1.50911,1.27174,0.83183,+2.36779,0.98709
37,+50.0,105.0,1.21240,-0.15047,1.30622,1.12217,0.82399,+2.78522,0.95913
38,+60.0,120.0,1.42571,-0.18256,1.33875,1.10993,0.82630,+3.40712,0.99665
39,+45.0,120.0,1.54101,0.20997,1.38766,1.22927,0.89085,+2.57529,1.00564
40,+45.0,125.0,0.40300,-0.81957,1.15151,0.85881,0.80328,+3.78573,1.07705
41,+35.0,75.0,2.60522,0.33274,1.88966,1.50108,0.78085,+3.10664,0.98298
42,+40.0,95.0,1.95832,0.38168,1.53254,1.40855,0.77849,+2.25099,0.84702
43,+40.0,100.0,1.64996,-0.03653,1.52713,1.24917,0.82371,+3.05640,1.00700
44,+40.0,110.0,1.21724,-0.03316,1.30125,1.11284,0.88781,+2.72071,1.03812
45,+40.0,115.0,1.19929,0.01214,1.20833,0.98180,0.89815,+2.95870,1.10539
46,+55.0,95.0,1.35731,0.03681,1.22927,0.98859,0.86025,+3.13888,1.06969
47,+60.0,115.0,1.01274,0.07372,1.30149,1.10133,0.83541,+2.01632,0.98724
48,+50.0,95.0,0.53723,-0.10060,1.06347,0.87482,0.86191,+1.90485,1.04777
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,+37.0,85.0,1.77836,-0.51147,1.88795,1.20654,0.57697,+3.57635,0.90283
52,+45.0,100.0,1.66674,0.25626,1.45477,1.11251,0.67375,+2.17942,0.88103
53,+45.0,90.0,1.64770,0.30546,1.35015,0.94823,0.70453,+2.46480,1.00316
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
