pa,spc,fvsseq,sdimx,site,numbr,iflag
CAF211,MH,20,698,14,1,1
CAF311,MH,20,541,15,1,1
CAG211,MH,20,373,12,1,1
CAG311,MH,20,820,17,1,1
CAG312,MH,20,709,13,1,1
CAS211,MH,20,742,16,1,1
CAS411,MH,20,1286,12,1,1
CDC711,DF,16,810,145,1,1
CDC712,DF,16,785,133,1,1
CDC713,DF,16,685,138,1,1
CDS211,DF,16,770,115,1,1
CDS212,DF,16,565,121,1,1
CDS213,DF,16,670,106,1,1
CDS641,DF,16,740,123,1,1
CFC251,DF,16,762,101,1,1
CFC311,DF,16,935,133,1,1
CFF152,SF,1,1095,120,1,1
CFF153,NF,7,1050,135,1,1
CFF154,SF,1,960,134,1,1
CFF250,DF,16,900,155,1,1
CFF253,NF,7,955,134,1,1
CFF312,NF,7,1399,117,1,1
CFF450,SF,1,1110,142,1,1
CFM111,SF,1,715,134,1,1
CFS110,NF,7,820,109,1,1
CFS151,WH,19,1035,64,1,1
CFS152,SF,1,1035,108,1,1
CFS154,SF,1,1040,115,1,1
CFS216,SF,1,1015,124,1,1
CFS221,SF,1,900,99,1,1
CFS222,SF,1,975,118,1,1
CFS223,SF,1,935,102,1,1
CFS224,SF,1,1100,100,1,1
CFS225,SF,1,945,126,1,1
CFS226,SF,1,1030,136,1,1
CFS229,SF,1,1110,108,1,1
CFS230,SF,1,830,101,1,1
CFS231,SF,1,1035,148,1,1
CFS251,SF,1,955,94,1,1
CFS252,SF,1,1065,94,1,1
CFS253,NF,7,975,110,1,1
CFS254,SF,1,1035,103,1,1
CFS255,SF,1,880,113,1,1
CFS256,SF,1,980,113,1,1
CFS257,SF,1,985,111,1,1
CFS258,SF,1,1010,116,1,1
CFS259,SF,1,626,94,1,1
CFS260,SF,1,1535,128,1,1
CFS351,SF,1,825,130,1,1
CFS352,SF,1,1030,133,1,1
CFS550,SF,1,1120,102,1,1
CFS551,DF,16,815,73,1,1
CFS552,DF,16,778,73,1,1
CFS554,SF,1,995,93,1,1
CFS555,SF,1,715,98,1,1
CFS651,NF,7,1030,140,1,1
CFS652,DF,16,1010,104,1,1
CFS653,NF,7,910,96,1,1
CFS654,DF,16,995,97,1,1
CHC212,DF,16,675,120,1,1
CHC213,DF,16,1063,105,1,1
CHF111,DF,16,800,158,1,1
CHF123,WH,19,770,95,1,1
CHF124,WH,19,905,102,1,1
CHF125,WH,19,740,96,1,1
CHF133,DF,16,1005,151,1,1
CHF134,DF,16,1090,154,1,1
CHF135,WH,19,1532,123,1,1
CHF151,DF,16,870,159,1,1
CHF221,DF,16,960,147,1,1
CHF222,DF,16,975,170,1,1
CHF250,DF,16,965,164,1,1
CHF321,DF,16,1020,148,1,1
CHF421,DF,16,880,174,1,1
CHM121,DF,16,1126,128,1,1
CHS111,DF,16,740,137,1,1
CHS113,DF,16,770,159,1,1
CHS114,DF,16,1010,158,1,1
CHS124,WH,19,845,93,1,1
CHS125,WH,19,1020,82,1,1
CHS126,WH,19,835,89,1,1
CHS127,DF,16,925,134,1,1
CHS128,DF,16,820,123,1,1
CHS129,DF,16,789,100,1,1
CHS130,DF,16,1101,122,1,1
CHS135,DF,16,1225,117,1,1
CHS140,DF,16,890,89,1,1
CHS141,DF,16,1070,103,1,1
CHS223,DF,16,880,141,1,1
CHS224,DF,16,1159,142,1,1
CHS251,DF,16,955,136,1,1
CHS325,DF,16,845,97,1,1
CHS326,DF,16,885,130,1,1
CHS327,WH,19,700,77,1,1
CHS328,WH,19,835,82,1,1
CHS351,DF,16,890,128,1,1
CHS352,DF,16,930,136,1,1
CHS353,DF,16,970,122,1,1
CHS354,DF,16,670,135,1,1
CHS355,DF,16,1100,130,1,1
CHS511,DF,16,685,168,1,1
CHS513,WH,19,980,101,1,1
CHS522,WH,19,815,93,1,1
CHS523,DF,16,585,156,1,1
CHS524,WH,19,965,88,1,1
CHS611,DF,16,767,165,1,1
CHS612,DF,16,795,90,1,1
CHS613,WH,19,985,84,1,1
CHS614,WH,19,710,81,1,1
CHS615,WH,19,770,87,1,1
CHS625,DF,16,1050,154,1,1
CHS626,DF,16,940,110,1,1
CMF250,MH,20,820,36,1,1
CMF251,MH,20,795,14,1,1
CMS114,MH,20,925,16,1,1
CMS210,MH,20,970,25,1,1
CMS216,MH,20,880,19,1,1
CMS218,MH,20,955,20,1,1
CMS221,MH,20,1005,22,1,1
CMS223,MH,20,955,21,1,1
CMS241,MH,20,1015,34,1,1
CMS244,MH,20,995,29,1,1
CMS245,MH,20,935,25,1,1
CMS246,MH,20,1075,25,1,1
CMS250,MH,20,780,31,1,1
CMS251,MH,20,770,25,1,1
CMS252,MH,20,960,35,1,1
CMS253,MH,20,1090,29,1,1
CMS254,MH,20,1155,28,1,1
CMS255,MH,20,710,29,1,1
CMS350,MH,20,750,20,1,1
CMS351,MH,20,820,23,1,1
CMS352,MH,20,970,23,1,1
CMS353,MH,20,675,20,1,1
CMS450,SF,1,855,138,1,1
CMS612,SF,1,1010,78,1,1
CWF211,DF,16,730,132,1,1
CWS521,DF,16,820,86,1,1
CWS522,DF,16,860,131,1,1
