forest_ifor,species_index,dbhclass,fc
1,1,1,97
1,2,1,95
1,3,1,93
1,4,1,98
1,5,1,87
1,6,1,74
1,7,1,95
1,8,1,93
1,9,1,81
1,10,1,90
1,11,1,96
1,12,1,92
1,13,1,79
1,14,1,93
1,15,1,89
1,16,1,97
1,17,1,82
1,18,1,79
1,19,1,95
1,20,1,96
1,21,1,84
1,22,1,84
1,23,1,82
1,24,1,79
1,25,1,87
1,26,1,85
1,27,1,82
1,28,1,95
1,29,1,81
1,30,1,92
1,31,1,96
1,32,1,96
1,33,1,81
1,34,1,91
1,35,1,95
1,36,1,86
1,37,1,92
1,38,1,74
1,39,1,84
1,1,2,97
1,2,2,95
1,3,2,93
1,4,2,98
1,5,2,87
1,6,2,74
1,7,2,95
1,8,2,93
1,9,2,81
1,10,2,90
1,11,2,96
1,12,2,92
1,13,2,79
1,14,2,93
1,15,2,89
1,16,2,90
1,17,2,82
1,18,2,79
1,19,2,95
1,20,2,96
1,21,2,84
1,22,2,84
1,23,2,82
1,24,2,79
1,25,2,87
1,26,2,85
1,27,2,82
1,28,2,95
1,29,2,81
1,30,2,92
1,31,2,96
1,32,2,96
1,33,2,81
1,34,2,91
1,35,2,95
1,36,2,86
1,37,2,92
1,38,2,74
1,39,2,84
1,1,3,93
1,2,3,91
1,3,3,89
1,4,3,90
1,5,3,82
1,6,3,74
1,7,3,90
1,8,3,86
1,9,3,72
1,10,3,86
1,11,3,91
1,12,3,82
1,13,3,76
1,14,3,89
1,15,3,82
1,16,3,87
1,17,3,79
1,18,3,76
1,19,3,91
1,20,3,90
1,21,3,82
1,22,3,80
1,23,3,78
1,24,3,76
1,25,3,81
1,26,3,81
1,27,3,80
1,28,3,95
1,29,3,81
1,30,3,92
1,31,3,96
1,32,3,89
1,33,3,74
1,34,3,84
1,35,3,95
1,36,3,86
1,37,3,92
1,38,3,74
1,39,3,80
1,1,4,92
1,2,4,90
1,3,4,88
1,4,4,89
1,5,4,80
1,6,4,74
1,7,4,88
1,8,4,86
1,9,4,71
1,10,4,85
1,11,4,91
1,12,4,80
1,13,4,76
1,14,4,88
1,15,4,80
1,16,4,86
1,17,4,78
1,18,4,74
1,19,4,91
1,20,4,89
1,21,4,81
1,22,4,78
1,23,4,76
1,24,4,74
1,25,4,79
1,26,4,80
1,27,4,79
1,28,4,95
1,29,4,81
1,30,4,92
1,31,4,96
1,32,4,87
1,33,4,70
1,34,4,82
1,35,4,95
1,36,4,84
1,37,4,92
1,38,4,74
1,39,4,79
1,1,5,92
1,2,5,90
1,3,5,88
1,4,5,89
1,5,5,79
1,6,5,74
1,7,5,88
1,8,5,84
1,9,5,70
1,10,5,85
1,11,5,90
1,12,5,79
1,13,5,75
1,14,5,88
1,15,5,80
1,16,5,86
1,17,5,78
1,18,5,74
1,19,5,90
1,20,5,88
1,21,5,80
1,22,5,78
1,23,5,76
1,24,5,74
1,25,5,79
1,26,5,79
1,27,5,79
1,28,5,95
1,29,5,74
1,30,5,92
1,31,5,96
1,32,5,86
1,33,5,70
1,34,5,82
1,35,5,95
