species_index,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db,htdbh_ht1,htdbh_ht2,htdbh_iwykca
1,237.918900,7.794800,-0.726100,0.3,5.288,-14.147,1
2,475.169800,6.247200,-0.481200,0.3,5.308,-13.624,1
3,432.218600,6.294100,-0.502800,0.3,5.308,-13.624,1
4,133.868900,6.779800,-0.737500,0.3,5.313,-15.321,1
5,375.382000,6.088000,-0.472000,0.3,5.313,-15.321,1
6,375.382000,6.088000,-0.472000,0.3,5.313,-15.321,1
7,483.375100,7.244300,-0.511100,0.3,5.327,-15.45,1
8,97.776900,8.820200,-1.053400,0.2,5.143,-13.497,1
9,4691.633700,7.467100,-0.198900,0.2,5.188,-13.801,1
10,206.321100,9.122700,-0.828100,0.3,5.188,-13.801,1
11,105.445300,7.969400,-1.091600,0.4,4.865,-9.305,1
12,1031.520300,7.661600,-0.359900,0.4,5.333,-17.762,1
13,702.185600,5.702500,-0.379800,0.4,5.382,-15.866,1
14,514.157500,6.300400,-0.465100,0.4,5.382,-15.866,1
15,1181.724400,6.698100,-0.315100,0.5,5.333,-17.762,1
16,439.119500,5.817600,-0.485400,0.3,5.288,-14.147,1
17,595.106800,5.810300,-0.382100,0.2,5.3401,-15.9354,1
18,1012.126700,6.095700,-0.308300,0.2,5.271,-14.996,1
19,395.497600,6.422200,-0.532000,0.2,5.298,-13.24,1
20,192.960900,7.387600,-0.723100,0.2,5.081,-13.43,1
21,160.217100,3.304400,-0.529900,0.2,4.7,-6.326,1
22,10099.720900,7.637500,-0.162100,0.2,4.886,-8.792,1
23,133.796500,6.405000,-0.832900,0.2,5.152,-13.576,1
24,1709.722900,5.888700,-0.228600,0.2,5.152,-13.576,1
25,10707.390600,8.467000,-0.186300,0.2,5.152,-13.576,1
26,1709.722900,5.888700,-0.228600,0.2,5.152,-13.576,1
27,178.644100,4.585200,-0.674600,0.2,5.152,-13.576,1
28,55.000000,5.500000,-0.950000,0.2,5.152,-13.576,1
29,503.661900,4.954400,-0.208500,0.2,5.152,-13.576,1
30,503.661900,4.954400,-0.208500,0.3,5.188,-13.801,1
31,73.914700,3.963000,-0.827700,0.4,5.188,-13.801,1
32,34749.473600,9.128700,-0.141700,0.4,5.188,-13.801,1
33,139.072700,5.206200,-0.540900,0.2,5.188,-13.801,1
34,444.561800,3.920500,-0.239700,0.2,5.152,-13.576,1
35,55.000000,5.500000,-0.950000,0.2,5.152,-13.576,1
36,73.334800,2.654800,-1.246000,0.2,5.152,-13.576,1
37,149.586100,2.423100,-0.180000,0.2,5.152,-13.576,1
38,1709.722900,5.888700,-0.228600,0.2,5.152,-13.576,1
39,1709.722900,5.888700,-0.228600,0.2,5.152,-13.576,1
