forest_idx,species_index,p2,p3,p4
1,1,407.995600,6.783400,-0.522500
1,2,475.169800,6.247200,-0.481200
1,3,686.483100,6.539300,-0.374000
1,4,216.399800,6.170000,-0.601700
1,5,375.382000,6.088000,-0.472000
1,6,375.382000,6.088000,-0.472000
1,7,561.958900,6.550700,-0.446000
1,8,505.270700,6.474300,-0.432400
1,9,4691.633700,7.467100,-0.198900
1,10,27357.521200,8.721100,-0.140700
1,11,133.660300,4.845600,-0.697100
1,12,1031.520300,7.661600,-0.359900
1,13,702.185600,5.702500,-0.379800
1,14,3261.830800,7.371700,-0.251700
1,15,1548.414700,6.550300,-0.270000
1,16,452.398500,5.969000,-0.491000
1,17,595.106800,5.810300,-0.382100
1,18,531.007300,5.964300,-0.408300
1,19,465.081100,6.477200,-0.494100
1,20,368.372200,6.826700,-0.507000
1,21,179.070600,3.623800,-0.573000
1,22,182.304500,3.667600,-0.473500
1,23,133.796500,6.405000,-0.832900
1,24,1709.722900,5.888700,-0.228600
1,25,10707.390600,8.467000,-0.186300
1,26,1709.722900,5.888700,-0.228600
1,27,178.644100,4.585200,-0.674600
1,28,55.000000,5.500000,-0.950000
1,29,503.661900,4.954400,-0.208500
1,30,503.661900,4.954400,-0.208500
1,31,89.553500,4.228100,-0.643800
1,32,34749.473600,9.128700,-0.141700
1,33,1221.918300,5.816600,-0.209600
1,34,444.561800,3.920500,-0.239700
1,35,55.000000,5.500000,-0.950000
1,36,73.334800,2.654800,-1.246000
1,37,149.586100,2.423100,-0.180000
1,38,1709.722900,5.888700,-0.228600
1,39,1709.722900,5.888700,-0.228600
2,1,476.634400,6.483900,-0.468500
2,2,475.169800,6.247200,-0.481200
2,3,727.811000,5.464800,-0.343500
2,4,495.784100,6.530200,-0.411000
2,5,375.382000,6.088000,-0.472000
2,6,375.382000,6.088000,-0.472000
2,7,2067.858600,6.849400,-0.259000
2,8,181.454000,6.578600,-0.656700
2,9,4691.633700,7.467100,-0.198900
2,10,211.796200,6.701500,-0.673900
2,11,121.139200,12.662300,-1.298100
2,12,1031.520300,7.661600,-0.359900
2,13,702.185600,5.702500,-0.379800
2,14,433.780700,6.331800,-0.498800
2,15,1181.724400,6.698100,-0.315100
2,16,536.736800,5.580300,-0.410100
2,17,595.106800,5.810300,-0.382100
2,18,422.970400,5.734400,-0.426700
2,19,319.373700,6.396200,-0.569800
2,20,547.948700,7.137200,-0.422000
2,21,293.110500,3.733800,-0.345800
2,22,1089.504500,5.199700,-0.256600
2,23,133.796500,6.405000,-0.832900
2,24,1709.722900,5.888700,-0.228600
2,25,10707.390600,8.467000,-0.186300
2,26,1709.722900,5.888700,-0.228600
2,27,290.333200,5.280100,-0.584600
2,28,59.421400,5.317800,-1.036700
2,29,503.661900,4.954400,-0.208500
2,30,503.661900,4.954400,-0.208500
2,31,89.553500,4.228100,-0.643800
2,32,34749.473600,9.128700,-0.141700
2,33,175.864700,5.089000,-0.462400
2,34,444.561800,3.920500,-0.239700
2,35,55.000000,5.500000,-0.950000
2,36,73.334800,2.654800,-1.246000
2,37,149.586100,2.423100,-0.180000
2,38,1709.722900,5.888700,-0.228600
2,39,1709.722900,5.888700,-0.228600
3,1,223.349200,6.396400,-0.656600
