index,pa
1,CAF211
2,CAF311
3,CAG211
4,CAG311
5,CAG312
6,CAS211
7,CAS411
8,CDC711
9,CDC712
10,CDC713
11,CDS211
12,CDS212
13,CDS213
14,CDS641
15,CFC251
16,CFC311
17,CFF152
18,CFF153
19,CFF154
20,CFF250
21,CFF253
22,CFF312
23,CFF450
24,CFM111
25,CFS110
26,CFS151
27,CFS152
28,CFS154
29,CFS216
30,CFS221
31,CFS222
32,CFS223
33,CFS224
34,CFS225
35,CFS226
36,CFS229
37,CFS230
38,CFS231
39,CFS251
40,CFS252
41,CFS253
42,CFS254
43,CFS255
44,CFS256
45,CFS257
46,CFS258
47,CFS259
48,CFS260
49,CFS351
50,CFS352
51,CFS550
52,CFS551
53,CFS552
54,CFS554
55,CFS555
56,CFS651
57,CFS652
58,CFS653
59,CFS654
60,CHC212
61,CHC213
62,CHF111
63,CHF123
64,CHF124
65,CHF125
66,CHF133
67,CHF134
68,CHF135
69,CHF151
70,CHF221
71,CHF222
72,CHF250
73,CHF321
74,CHF421
75,CHM121
76,CHS111
77,CHS113
78,CHS114
79,CHS124
80,CHS125
81,CHS126
82,CHS127
83,CHS128
84,CHS129
85,CHS130
86,CHS135
87,CHS140
88,CHS141
89,CHS223
90,CHS224
91,CHS251
92,CHS325
93,CHS326
94,CHS327
95,CHS328
96,CHS351
97,CHS352
98,CHS353
99,CHS354
100,CHS355
101,CHS511
102,CHS513
103,CHS522
104,CHS523
105,CHS524
106,CHS611
107,CHS612
108,CHS613
109,CHS614
110,CHS615
111,CHS625
112,CHS626
113,CMF250
114,CMF251
115,CMS114
116,CMS210
117,CMS216
118,CMS218
119,CMS221
120,CMS223
121,CMS241
122,CMS244
123,CMS245
124,CMS246
125,CMS250
126,CMS251
127,CMS252
128,CMS253
129,CMS254
130,CMS255
131,CMS350
132,CMS351
133,CMS352
134,CMS353
135,CMS450
136,CMS612
137,CWF211
138,CWS521
139,CWS522
