pvcode,pvref,habpvr
CA,639,CAG312
CAC0,639,CAG312
CAC1,609,CAG312
CAC1,639,CAG312
CAC111,626,CAG312
CAC111,639,CAG312
CAC112,626,CAG312
CAC112,639,CAG312
CAC113,626,CAG312
CAC113,639,CAG312
CAC114,626,CAG312
CAC114,639,CAG312
CAC115,626,CAG312
CAC115,639,CAG312
CAC2,639,CAG312
CAC3,639,
CAC4,639,CAG312
CAC5,639,CAG312
CAC6,639,CAG312
CAF0,622,CAG312
CAF0,639,CAG312
CAF0,640,CAG312
CAF1,639,CAG312
CAF2,622,CAG312
CAF2,639,CAF211
CAF2,640,CAF211
CAF211,623,CAF211
CAF211,639,CAF211
CAF311,623,CAF311
CAF311,639,CAF311
CAF312,647,CAF311
CAF312,648,CAF311
CAF312,650,CAF311
CAF321,626,CAG312
CAF321,639,CAG312
CAF322,640,CAG312
CAF323,640,CAG312
CAF324,640,CAG312
CAG0,639,CAG312
CAG1,632,CAG312
CAG1,639,CAG312
CAG111,604,CAG312
CAG111,622,CAG312
CAG111,639,CAG312
CAG111,640,CAG312
CAG112,609,CAG312
CAG112,626,CAG312
CAG112,627,CAG312
CAG112,639,CAG312
CAG131,640,CAG312
CAG132,640,CAG312
CAG133,640,CAG312
CAG2,639,CAG211
CAG211,623,CAG211
CAG211,639,CAG211
CAG221,626,CAG312
CAG221,639,CAG312
CAG221,640,CAG312
CAG222,640,CAG312
CAG3,622,CAG312
CAG3,639,CAG311
CAG3,640,CAG311
CAG311,623,CAG311
CAG311,639,CAG311
CAG312,623,CAG312
CAG312,639,CAG312
CAG313,647,CAG312
CAG313,648,CAG312
CAG313,650,CAG312
CAG314,647,CAG312
CAG314,648,CAG312
CAG314,650,CAG312
CAG4,622,CAG211
CAG4,639,CAG211
CARR,639,CAG312
CARS,639,CAG312
CARX,639,CAG312
CAS0,639,CAG312
CAS1,639,CAS211
CAS2,639,CAS211
CAS211,623,CAS211
CAS211,639,CAS211
CAS212,647,CAS211
CAS212,648,CAS211
CAS212,650,CAS211
CAS221,626,CAG312
CAS221,639,CAG312
CAS3,639,CAG312
CAS311,626,CAG312
CAS311,639,CAG312
CAS311,640,CAG312
CAS312,640,CAG312
CAS313,640,CAG312
CAS4,639,CAS411
CAS411,623,CAS411
CAS411,639,CAS411
CAS412,647,CAS411
CAS412,648,CAS411
CAS412,650,CAS411
CAS421,626,CAG312
CAS421,639,CAG312
CAS422,640,CAG312
CAS423,640,CAG312
CAS424,640,CAG312
CAS511,640,CAG312
CAS512,640,CAG312
CAS611,640,CAG312
CAS621,640,CAG312
CAS622,640,CAG312
CAS623,640,CAG312
CAS624,640,CAG312
CAS625,640,CAG312
CAS626,640,CAG312
CAS627,640,CAG312
CAS628,640,CAG312
CAS629,640,CAG312
CAXX,639,CAG311
CC,639,CHS615
CCC0,639,CHS615
CCC1,639,CHS615
CCC2,639,CHS615
CCC211,639,CHC212
CCC221,639,CHF124
CCF0,639,CHS615
CCF1,639,CHS615
CCF110,625,CHS615
CCF110,639,CHS615
CCF121,632,CHS615
CCF121,639,CHS615
CCF211,619,CHS615
CCF211,639,CHS615
CCF212,620,CHS615
CCF212,639,CHS615
CCF221,627,CHS615
CCF221,638,CHS615
CCF221,639,CHS615
CCF222,627,CHS615
CCF222,631,CHS615
CCF222,639,CHS615
CCF231,631,CHS615
CCF232,631,CHS615
CCFA,639,CHS615
CCM0,639,CHS615
CCM1,639,CHS615
CCM2,639,CHS615
CCM3,639,CHS615
CCS0,639,CHS615
CCS1,639,CHS615
CCS110,625,CHS615
CCS110,639,CHS615
CCS2,639,CHS615
CCS211,626,CHS615
CCS211,627,CHS615
CCS211,632,CHS615
CCS211,639,CHS615
CCS221,639,CHS615
CCS3,639,CHS615
CCS311,627,CHS615
CCS311,639,CHS615
CCS321,632,CHS615
CCS321,639,CHS615
CCS4,639,CHS615
CCS5,639,CHS615
CCS521,641,CHS615
CD,639,CDS211
CDC0,639,CHS615
CDC1,639,CDS211
CDC2,639,CDS211
CDC3,639,CDS211
CDC321,641,CDS211
CDC322,641,CDS211
CDC323,641,CDS211
CDC4,639,CDS211
CDC421,641,CDS211
CDC422,641,CDS211
CDC5,639,CWS521
CDC511,635,CDS211
CDC511,639,CDS211
CDC512,635,CDS211
CDC512,639,CDS211
CDC521,641,CWS521
CDC6,639,CDC711
CDC7,639,CDC711
CDC710,647,CDC711
CDC710,648,CDC711
CDC710,650,CDC711
CDC711,616,CDC711
CDC711,639,CDC711
CDC712,616,CDC712
CDC712,639,CDC712
CDC712,648,CDC712
CDC713,616,CDC713
CDC713,639,CDC713
CDC714,648,CDC713
CDC714,650,CDC713
CDC715,647,CDC713
CDF0,639,CDC713
CDF1,639,CDC713
CDF2,639,CDC713
CDF211,639,CDC713
CDF3,639,CDC713
CDF311,639,CDC713
CDF312,639,CDC713
CDF313,640,CDC713
CDF4,639,CDC713
CDF411,626,CDC713
CDF411,639,CDC713
CDG0,639,CWS521
CDG1,639,CWS521
CDG111,604,CWS521
CDG111,622,CWS521
CDG111,639,CWS521
CDG111,640,CWS521
CDG112,622,CWS521
CDG112,628,CWS521
CDG112,639,CWS521
CDG112,640,CWS521
CDG113,639,CWS521
CDG121,615,CWS521
CDG121,632,CWS521
CDG121,639,CWS521
CDG121,640,CWS521
CDG122,631,CWS521
CDG122,632,CWS521
CDG122,639,CWS521
CDG123,609,CWS521
CDG123,627,CWS521
CDG123,639,CWS521
CDG131,609,CWS521
CDG131,626,CWS521
CDG131,627,CWS521
CDG131,631,CWS521
CDG131,638,CWS521
CDG131,639,CWS521
CDG132,626,CWS521
CDG132,639,CWS521
CDG134,626,CWS521
CDG134,639,CWS521
CDG141,619,CWS521
CDG141,639,CWS521
CDG142,639,CWS521
CDG2,639,CWS521
CDG3,639,CWS521
CDG311,609,CWS521
CDG311,627,CWS521
CDG311,639,CWS521
CDG321,619,CWS521
CDG321,639,CWS521
CDG322,626,CWS521
CDG322,639,CWS521
CDG323,626,CWS521
CDG323,639,CWS521
CDG331,628,CWS521
CDG331,639,CWS521
CDG332,631,CWS521
CDG332,639,CWS521
CDG333,640,CWS521
CDG8,639,CWS521
CDH0,639,CDS211
CDH1,639,CDS211
CDH2,639,CDS211
CDH3,639,CDS211
CDH311,639,CDS211
CDH321,641,CDS211
CDH4,639,CDS211
CDH5,639,CDS211
CDH521,641,CDS211
CDH522,641,CDS211
CDH524,641,CDS211
CDH6,639,CDS211
CDRR,639,CDS211
CDRS,639,CDS211
CDRX,639,CDS211
CDS0,639,CDS211
CDS1,639,CDS211
CDS121,641,CDS211
CDS122,641,CDS211
CDS123,641,CDS211
CDS124,647,CDS211
CDS124,648,CDS211
CDS124,650,CDS211
CDS151,603,CDS211
CDS151,639,CDS211
CDS2,639,CDS211
CDS211,616,CDS211
CDS211,639,CDS211
CDS212,616,CDS212
CDS212,639,CDS212
CDS212,647,CDS212
CDS212,648,CDS212
CDS213,616,CDS213
CDS213,639,CDS213
CDS213,647,CDS213
CDS213,648,CDS213
CDS214,641,CDS641
CDS215,641,CDS213
CDS216,647,CDS213
CDS216,648,CDS213
CDS216,650,CDS213
CDS217,647,CDS213
CDS217,648,CDS213
CDS217,650,CDS213
CDS221,618,CDS213
CDS221,639,CDS213
CDS231,619,CDS213
CDS231,639,CDS213
CDS241,620,CDS641
CDS241,639,CDS641
CDS252,603,CDS641
CDS252,639,CDS641
CDS253,603,CDS641
CDS253,639,CDS641
