species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum,snag_decayx,snag_fallx,snag_alldwn,biogrp,bio_group
1,15,21.2,15,3,4,1,1,999.0,1.235,100,4,4
2,3,28.7,15,5,3,2,1,999.0,0.882,100,2,2
3,4,23.1,15,7,4,1,1,999.0,0.882,100,3,3
4,19,21.2,20,5,2,2,1,999.0,0.687,150,1,1
5,20,21.8,20,5,2,2,1,999.0,0.687,100,1,1
6,15,21.2,15,3,4,1,1,999.0,1.235,100,4,4
7,4,22.5,15,7,4,1,1,999.0,0.882,100,3,3
8,13,23.7,10,3,4,1,1,999.0,1.235,100,4,4
9,11,23.7,15,3,4,1,1,999.0,1.235,100,4,4
10,14,22.5,15,3,4,1,1,999.0,1.235,100,4,4
11,15,22.5,15,3,4,1,1,999.0,1.235,100,4,4
12,12,31.8,15,3,4,1,1,999.0,1.0,150,4,4
13,4,24.9,15,7,4,1,1,999.0,0.882,100,3,3
14,11,23.7,15,4,4,1,1,999.0,1.235,100,4,4
15,11,23.7,15,4,4,1,1,999.0,1.235,100,4,4
16,11,23.7,15,3,4,1,1,999.0,1.235,100,4,4
17,11,22.5,15,3,4,1,1,999.0,1.235,100,4,4
18,13,23.7,15,3,4,1,1,999.0,1.235,100,4,4
19,11,23.7,15,3,4,1,1,999.0,1.235,100,4,4
20,11,23.7,15,4,4,1,1,999.0,1.235,100,4,4
21,9,23.7,20,3,4,1,1,999.0,0.001,999,4,4
22,3,28.7,15,5,3,2,1,999.0,0.882,100,2,2
23,19,21.2,20,5,2,2,1,999.0,0.687,150,1,1
24,24,26.2,15,4,4,1,1,999.0,1.235,100,3,3
25,16,34.9,20,4,2,2,1,999.0,0.687,150,10,10
26,16,34.9,20,4,2,2,1,999.0,0.687,150,10,10
27,16,34.9,20,4,2,2,1,999.0,0.687,150,10,10
28,17,49.9,15,1,2,2,1,999.0,1.545,50,9,9
29,17,49.9,15,1,2,2,1,999.0,1.545,50,9,9
30,21,37.4,15,1,2,2,1,999.0,1.545,50,9,9
31,21,34.9,15,1,2,2,1,999.0,1.545,50,9,9
32,21,37.4,15,1,2,2,1,999.0,1.545,50,9,9
33,17,49.9,15,1,2,2,1,999.0,1.545,50,9,9
34,17,36.2,15,1,4,1,1,999.0,1.545,50,8,8
35,17,36.2,15,1,4,1,1,999.0,1.545,50,8,8
36,41,21.8,15,1,4,1,1,999.0,1.545,50,6,6
37,17,36.2,15,1,2,2,1,999.0,1.545,50,8,8
38,10,36.2,15,1,3,2,1,999.0,1.545,50,8,8
39,56,27.4,15,1,4,1,1,999.0,1.545,50,8,8
40,5,27.4,15,1,2,2,1,999.0,1.545,50,7,7
41,41,21.8,15,1,4,1,1,999.0,1.0,90,10,10
42,11,23.7,15,3,4,1,1,999.0,1.235,100,4,4
43,21,34.9,15,1,2,2,1,999.0,1.545,50,9,9
