variant,regime,cn,n_cycles,bit_exact,div_cols,worst_col,worst_cycle,max_rel_pct,max_abs_diff,struct_max_rel_pct,vol_max_rel_pct,density_bitexact,converges,signature
SN,none,232303372010854,6,false,BA|CCF|TCuFt|MCuFt|SCuFt|BdFt,BA,2019,16.667,3.0,16.667,1.299,true,false,volume_persistent
SN,none,232303372010854,6,false,BA|CCF|TCuFt|MCuFt|SCuFt|BdFt,BA,2019,16.667,3.0,16.667,1.299,true,false,volume_persistent
SN,none,1176710848290487,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2046,11.766,1167.0,5.208,11.766,false,false,structure_densephase
SN,none,1524359654290487,6,false,TPA|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,TopHt,2022,3.077,92.0,3.077,0.985,false,true,structure_densephase
SN,none,1524381965290487,6,false,TPA|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2047,1.157,41.0,0.352,1.157,true,false,volume_persistent
SN,none,158072795010854,6,false,TPA|BA|SDI|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,1999,2.197,244.0,1.282,2.197,true,false,volume_persistent
SN,none,158072800010854,6,false,BA|TopHt|TCuFt|MCuFt|SCuFt|BdFt,TopHt,1979,4.0,31.0,4.0,1.178,false,true,structure_densephase
SN,none,158072818010854,6,false,BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,1994,1.639,78.0,1.639,1.261,true,false,volume_persistent
SN,none,158073117010854,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,TPA,1999,3.11,78.0,3.11,2.774,false,true,structure_densephase
SN,none,158073135010854,6,false,BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,1989,3.48,131.0,2.128,3.48,true,false,volume_persistent
SN,none,158073147010854,6,false,SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,1989,2.757,79.0,1.613,2.757,true,false,volume_persistent
SN,none,158073156010854,6,false,SDI|CCF|QMD|TCuFt|MCuFt|BdFt,QMD,2004,1.562,36.0,1.562,1.205,true,false,volume_persistent
SN,none,158073161010854,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,1989,1.814,127.0,1.667,1.814,true,false,volume_persistent
SN,none,158073164010854,6,false,TPA|SDI|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2004,4.625,486.0,1.408,4.625,true,false,volume_persistent
SN,none,158073353010854,6,false,QMD|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2003,4.368,95.0,0.926,4.368,true,false,volume_persistent
SN,none,158074279010854,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2004,8.633,237.0,1.538,8.633,true,false,volume_persistent
SN,none,158074280010854,6,false,TPA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2004,1.831,108.0,0.35,1.831,true,false,volume_persistent
SN,none,158074282010854,6,false,BA|CCF|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2004,1.232,31.0,0.877,1.232,true,false,volume_persistent
SN,none,158074582010854,6,false,BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,1994,4.846,72.0,3.636,4.846,false,false,structure_densephase
SN,none,158074584010854,6,false,TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2004,1.069,61.0,0.0,1.069,true,false,volume_persistent
SN,none,158074587010854,6,false,TPA|BA|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,TopHt,2004,2.74,64.0,2.74,2.225,false,false,structure_densephase
SN,none,158074590010854,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,1999,8.081,355.0,2.222,8.081,false,false,structure_densephase
SN,none,158074593010854,6,false,SDI|TopHt|TCuFt|MCuFt|SCuFt|BdFt,TopHt,1979,3.774,32.0,3.774,0.819,false,true,structure_densephase
SN,none,158074600010854,6,false,TPA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2004,1.824,65.0,0.847,1.824,true,false,volume_persistent
SN,none,158074606010854,6,false,TPA|BA|SDI|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,TPA,2004,4.734,45.0,4.734,1.812,false,false,structure_densephase
SN,none,158074608010854,6,false,BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,1994,3.887,95.0,2.597,3.887,false,false,structure_densephase
SN,none,158218457010854,6,false,TopHt|QMD|TCuFt|MCuFt,TopHt,2012,3.636,2.0,3.636,0.189,false,false,structure_densephase
SN,none,158218493010854,6,false,TCuFt|MCuFt|SCuFt|BdFt,BdFt,2012,1.585,46.0,0.0,1.585,true,false,volume_persistent
SN,none,158218504010854,6,false,SDI|QMD|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,1997,1.338,33.0,1.299,1.338,true,false,volume_persistent
