variant,regime,cn,n_cycles,bit_exact,div_cols,worst_col,worst_cycle,max_rel_pct,max_abs_diff,struct_max_rel_pct,vol_max_rel_pct,density_bitexact,converges,signature
variant,regime,cn,n_cycles,bit_exact,div_cols,worst_col,worst_cycle,max_rel_pct,max_abs_diff,struct_max_rel_pct,vol_max_rel_pct,density_bitexact,converges,signature
SN,none,163925862010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,220182923010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,163923046010854,6,false,TCuFt|SCuFt|BdFt,SCuFt,1981,0.048,1.0,0.0,0.048,true,true,print_boundary
SN,none,164246326010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,250136095010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,164242774010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,559304224126144,6,false,TPA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,SDI,2043,0.314,5.0,0.314,0.116,true,false,print_boundary
SN,none,15992155010478,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,234992477020004,6,false,TPA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2028,3.226,32.0,3.226,3.165,false,false,structure_densephase
SN,none,15990996010478,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,319002425489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,202455484010854,6,false,TPA|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2028,0.388,40.0,0.151,0.388,true,false,print_boundary
SN,none,318986146489998,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,TPA,2039,3.837,204.0,3.837,1.937,false,false,structure_densephase
SN,none,202566908010854,6,false,TPA|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2015,100.0,19.0,0.206,100.0,true,true,threshold_crossing
SN,none,232058139010854,6,false,TPA|TCuFt|MCuFt|BdFt,TPA,2023,0.123,9.0,0.123,0.063,true,false,print_boundary
SN,none,1261535687290487,6,false,TPA|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2046,1.533,233.0,0.446,1.533,true,false,volume_persistent
SN,none,1860927083290487,6,false,TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2034,0.45,39.0,0.0,0.45,true,true,print_boundary
SN,none,232212406010854,6,false,BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2022,5.227,31.0,2.778,5.227,false,false,structure_densephase
SN,none,259715312010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,232056235010854,6,false,CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2023,1.786,5.0,1.786,0.152,true,false,print_boundary
SN,none,12355826010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,202388199010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,232059188010854,6,false,CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,TopHt,1999,2.381,3.0,2.381,0.442,true,true,print_boundary
SN,none,232056409010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,166742837010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,232241875010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,434861201489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,724209273290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,232059667010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,434833018489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,232060971010854,6,false,CCF|TCuFt|MCuFt,CCF,2024,0.265,1.0,0.265,0.036,true,false,print_boundary
SN,none,158219493010854,6,false,BA|SDI|TopHt|TCuFt|MCuFt|SCuFt|BdFt,TopHt,1992,1.408,69.0,1.408,0.551,true,false,print_boundary
SN,none,216749060010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,243432909489998,6,false,TPA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,SDI,2033,0.348,18.0,0.348,0.203,true,false,print_boundary
SN,none,8879642020004,6,false,TPA|BA|TCuFt|MCuFt,BA,2031,0.741,8.0,0.741,0.299,true,true,print_boundary
SN,none,165735019020004,6,false,TPA|BA|SDI|QMD|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2032,4.694,245.0,1.389,4.694,true,true,threshold_crossing
SN,none,238245319010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,158403454010854,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2021,10.619,117.0,3.856,10.619,false,false,structure_densephase
SN,none,166709602010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,216864931010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,216864613010854,6,false,TPA|CCF|TCuFt|MCuFt|SCuFt|BdFt,TCuFt,2021,0.386,16.0,0.282,0.386,true,false,print_boundary
SN,none,158403168010854,6,false,BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2021,4.208,573.0,1.818,4.208,false,false,structure_densephase
SN,none,1841492986290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,216823680010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,430454080489998,6,false,TPA|TCuFt|MCuFt|SCuFt|BdFt,TCuFt,2035,0.976,39.0,0.053,0.976,true,true,print_boundary
SN,none,15986137010478,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,202387812010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,1925648729290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,1737989654290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,202566704010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,202594649010854,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt,BA,2026,1.136,4.0,1.136,0.142,true,true,print_boundary
SN,none,12325830010661,6,false,TPA|TCuFt|MCuFt|SCuFt|BdFt,TPA,2012,0.286,6.0,0.286,0.152,true,false,print_boundary
SN,none,202388634010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,476724070489998,6,false,TPA|CCF|TCuFt|MCuFt|SCuFt|BdFt,TPA,2041,0.865,17.0,0.865,0.26,true,false,print_boundary
SN,none,232056907010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,253743506010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,166742067010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,232060831010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,496593340126144,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,166741865010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,232060115010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
