variant,regime,cn,n_cycles,bit_exact,div_cols,worst_col,worst_cycle,max_rel_pct,max_abs_diff,struct_max_rel_pct,vol_max_rel_pct,density_bitexact,converges,signature
CS,none,103515208010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,103523820010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,1210846102290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,146321087010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,146323095010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,146327404010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,1540866084290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,175611627020004,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,175615652020004,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,175618285020004,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,1801817532290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,1822403575290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,191196455010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,191199107010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,191203127010661,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2018,2.273,174.0,2.273,0.587,true,true,print_boundary
CS,none,224425370010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,224427594010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,224431029010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,231713076020004,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,231715496020004,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,244225954010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,244229594010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,244248788010661,6,false,SDI|TCuFt|MCuFt|SCuFt|BdFt,SDI,2060,0.543,10.0,0.543,0.026,true,false,print_boundary
CS,none,27617872020004,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,27620243020004,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,27634852020004,6,false,TPA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,TPA,2061,1.543,452.0,1.543,1.278,true,false,count_straddle
CS,none,300756676489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3261328010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3261457010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3262793010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3264176010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3268636010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3278187010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3285382010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3285637010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3292603010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3293130010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3296411010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3297061010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3311316010661,6,false,MCuFt,MCuFt,2026,0.029,1.0,0.0,0.029,true,true,print_boundary
CS,none,3311667010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3334035010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3347081010661,6,false,TCuFt|MCuFt|BdFt,TCuFt,1996,0.071,2.0,0.0,0.071,true,true,print_boundary
CS,none,3352557010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3352659010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3354144010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3354700010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3356116010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3370529010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3377735010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3384122010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3388322010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3399234010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3429374010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3447049010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,3447480010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,372163299489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,451480166489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
CS,none,524735294126144,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
