variant,regime,cn,n_cycles,bit_exact,div_cols,worst_col,worst_cycle,max_rel_pct,max_abs_diff,struct_max_rel_pct,vol_max_rel_pct,density_bitexact,converges,signature
CS,plant,1210846102290487,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2061,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,175611627020004,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2052,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,191196455010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2048,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,224431029010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2049,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,244248788010661,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,TPA,2040,19.608,286.0,19.608,2.105,false,true,structure_densephase
CS,plant,3261328010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2026,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3278187010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2026,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3296411010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2026,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3334035010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2026,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3354700010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2038,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3388322010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2038,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,372163299489998,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2055,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,55536746010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2040,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,646557533126144,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2058,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,95843716010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2045,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,103520717010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2046,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,146320463010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2047,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,146326749010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2047,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,175610732020004,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2052,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,175619253020004,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2052,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,1822404086290487,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2064,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,191200539010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2048,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,224427142010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2049,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,231703845020004,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2053,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,244226039010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2050,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,244241933010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2029,3.37686565018e8,1.6246100643e10,7.86,3.37686565018e8,false,true,structure_densephase
CS,plant,27620273020004,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2051,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,300756492489998,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2054,95.312,6221.0,87.5,95.312,false,true,structure_densephase
CS,plant,3268318010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2026,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3277012010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2026,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3288465010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2026,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3291863010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2026,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3300174010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2026,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3307656010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2026,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3337783010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2026,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3343851010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2026,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3356363010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2038,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3372808010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2038,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3383290010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2038,95.773,8472.0,87.5,95.773,false,false,structure_densephase
CS,plant,3399475010661,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2038,95.773,8472.0,87.5,95.773,false,false,structure_densephase
