variant,regime,cn,n_cycles,bit_exact,div_cols,worst_col,worst_cycle,max_rel_pct,max_abs_diff,struct_max_rel_pct,vol_max_rel_pct,density_bitexact,converges,signature,struct_max_abs,vol_max_abs
SN,plant,163925862010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,220182923010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,163923046010854,6,false,TCuFt|SCuFt|BdFt,SCuFt,1981,0.048,1.0,0.0,0.048,true,true,print_boundary,0.0,1.0
SN,plant,164246326010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,250136095010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,164242774010854,6,false,BdFt,BdFt,2016,0.005,1.0,0.0,0.005,true,false,print_boundary,0.0,0.0
SN,plant,559304224126144,6,false,TPA|CCF|TCuFt|MCuFt|SCuFt|BdFt,CCF,2038,0.272,8.0,0.272,0.231,true,false,print_boundary,5.0,8.0
SN,plant,15992155010478,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,234992477020004,6,false,TPA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2038,7.492,74.0,0.286,7.492,true,false,volume_persistent,8.0,15.0
SN,plant,15990996010478,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,319002425489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,202455484010854,6,false,TPA|CCF|TCuFt|MCuFt|SCuFt|BdFt,TPA,2028,0.666,40.0,0.666,0.401,true,false,print_boundary,10.0,14.0
SN,plant,318986146489998,6,false,TPA|CCF|TCuFt|MCuFt|SCuFt|BdFt,CCF,2039,0.499,27.0,0.499,0.456,true,false,print_boundary,5.0,4.0
SN,plant,202566908010854,6,false,TPA|TCuFt|MCuFt|SCuFt,MCuFt,2025,0.581,12.0,0.173,0.581,true,true,print_boundary,2.0,3.0
SN,plant,232058139010854,6,false,TCuFt|MCuFt|BdFt,BdFt,2018,0.208,26.0,0.0,0.208,true,true,print_boundary,0.0,1.0
SN,plant,1261535687290487,6,false,TPA|CCF|TCuFt|MCuFt|SCuFt|BdFt,TPA,2046,1.043,89.0,1.043,0.686,true,false,count_straddle,12.0,5.0
SN,plant,1860927083290487,6,false,TPA|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2034,0.45,39.0,0.092,0.45,true,true,print_boundary,1.0,1.0
SN,plant,232212406010854,6,false,BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt,MCuFt,2022,6.267,46.0,2.941,6.267,false,false,structure_densephase,2.0,25.0
SN,plant,259715312010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,232056235010854,6,false,TPA|SDI|CCF|TCuFt|MCuFt|BdFt,SDI,2013,0.385,5.0,0.385,0.152,true,true,print_boundary,1.0,5.0
SN,plant,12355826010661,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,202388199010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,232059188010854,6,false,CCF|TCuFt,CCF,2024,0.275,1.0,0.275,0.05,true,false,print_boundary,1.0,1.0
SN,plant,232056409010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,166742837010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,232241875010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,434861201489998,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,724209273290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
SN,plant,232059667010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact,0.0,0.0
