variant,regime,cn,n_cycles,bit_exact,div_cols,worst_col,worst_cycle,max_rel_pct,max_abs_diff,struct_max_rel_pct,vol_max_rel_pct,density_bitexact,converges,signature
SN,none,220359507010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,163922975010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,163925862010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,164089225010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,164244314010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,164247176010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,220029208010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,220182923010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,220420652010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,564022540126144,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,1283971992290487,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,163923046010854,6,false,TCuFt|SCuFt|BdFt,SCuFt,1981,0.048,1.0,0.0,0.048,true,true,print_boundary
SN,none,163924590010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,164088724010854,6,false,TCuFt|BdFt,BdFt,2000,0.046,1.0,0.0,0.046,true,true,print_boundary
SN,none,164090768010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,164244283010854,6,false,SDI|TCuFt|MCuFt|SCuFt|BdFt,SDI,2006,0.413,31.0,0.413,0.173,true,true,print_boundary
SN,none,164246326010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,1830072388290487,6,false,TPA|SDI|CCF|TCuFt|MCuFt|BdFt,SDI,2039,0.351,4.0,0.351,0.072,true,false,print_boundary
SN,none,220063639010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,220182999010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
SN,none,220359833010854,6,true,,,0,0.0,0.0,0.0,0.0,true,true,bit_exact
