plot,id,tpa,history,species,dbh,diam_growth,height,top_height,ht_growth,crown_pct,damage1,damage2,damage3,damage4,damage5,damage6,mort_code,cut_code,pest1,pest2,pest3,pest4,pest5,birth_age
101,1,1,1,SH,11.5,1,73,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0
101,2,3,1,SM,0.1,0,2,0,0,6,0,0,0,0,0,0,2,2,2,0,0,0,0,0
102,3,1,1,SE,6.5,2.3,30,0,0,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0
102,4,1,1,PN,7.9,0.6,75,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0
102,5,1,8,PN,34.6,0,0,0,0,0,10,0,0,0,0,0,3,2,2,0,0,0,0,0
103,6,1,1,PN,8,0.7,63,56,0,3,96,0,0,0,0,0,2,2,2,0,0,0,0,0
103,7,1,1,AB,6.2,2,38,0,0,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0
103,8,1,1,PN,8.4,0,5,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0
103,9,1,1,SH,9.5,1.1,60,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0
104,10,1,1,SM,4,0,20,0,5,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0
104,11,1,1,PN,8.2,1.2,65,0,0,5,50,0,0,0,0,0,1,1,1,0,0,0,0,0
105,12,1,1,SM,1.2,0,11,0,4.2,6,0,0,0,0,0,0,2,2,2,0,0,0,0,0
105,13,1,1,SM,1.9,0,13,0,4.7,5,0,0,0,0,0,0,2,2,2,0,0,0,0,0
105,14,1,6,SH,7.2,0,0,0,0,0,11,0,0,0,0,0,3,2,2,0,0,0,0,0
105,15,3,1,AB,0.1,0,3,0,0,7,0,0,0,0,0,0,2,2,2,0,0,0,0,0
105,16,1,1,AB,5.3,0.9,27,0,0,7,0,0,0,0,0,0,1,1,1,0,0,0,0,0
106,17,1,1,SM,10,1,65,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0
106,18,1,1,AB,6.1,1.2,38,0,0,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0
106,19,1,1,SM,12.7,1.6,67,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0
107,20,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
108,21,1,1,SH,9.6,0.5,60,0,0,3,0,0,0,0,0,0,2,2,2,0,0,0,0,0
108,22,1,1,SM,10.4,0.9,55,49,0,5,97,0,0,0,0,0,2,2,2,0,0,0,0,0
108,23,1,1,SH,8.5,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0
109,24,1,1,AB,10.9,1,65,0,0,7,0,0,0,0,0,0,1,1,1,0,0,0,0,0
109,25,1,1,SM,9.4,1.8,60,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0
110,26,1,1,NP,3.2,0.6,17,0,3.2,5,0,0,0,0,0,0,2,2,2,0,0,0,0,0
110,27,1,1,NP,0.1,0,2,0,0,7,0,0,0,0,0,0,2,2,2,0,0,0,0,0
110,28,1,1,NP,5.8,1,28,0,0,7,0,0,0,0,0,0,1,1,1,0,0,0,0,0
110,29,1,1,NP,5,1,25,0,3.7,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0
111,30,1,1,AB,6.6,1.4,30,0,0,7,0,0,0,0,0,0,1,1,1,0,0,0,0,0
