plot,id,tpa,history,species,dbh,diam_growth,height,top_height,ht_growth,crown_pct,damage1,damage2,damage3,damage4,damage5,damage6,mort_code,cut_code,pest1,pest2,pest3,pest4,pest5,birth_age
1,1,248,1,12,0,0,101,0,0,0,1,15,10,0,0,73,4,0,0,1,11,0,0,0
2,2,248,1,12,0,0,101,0,0,0,0,1,0,0,0,2,6,0,0,2,22,0,0,0
3,3,248,1,12,0,0,102,0,0,0,0,65,23,0,0,30,8,0,0,1,11,0,0,0
4,4,248,1,12,0,0,102,0,0,0,0,79,6,0,0,75,3,0,0,1,11,0,0,0
5,5,248,1,12,0,0,102,0,0,0,3,46,0,0,0,0,0,0,0,103,22,0,0,0
6,6,248,1,12,0,0,103,0,0,0,0,80,7,0,0,63,3,0,0,962,22,0,0,0
7,7,248,1,12,0,0,103,0,0,0,0,62,20,0,0,38,5,0,0,1,11,0,0,0
8,8,248,1,12,0,0,103,0,0,0,0,84,0,0,0,5,4,0,0,1,11,0,0,0
9,9,248,1,12,0,0,103,0,0,0,0,95,11,0,0,60,3,0,0,1,11,0,0,0
10,10,248,1,12,0,0,104,0,0,0,0,40,0,0,0,20,3,0,0,1,11,0,0,50
11,11,248,1,12,0,0,104,0,0,0,0,82,12,0,0,65,5,0,0,501,11,0,0,0
12,12,248,1,12,0,0,105,0,0,0,0,12,0,0,0,11,6,0,0,2,22,0,0,42
13,13,248,1,12,0,0,105,0,0,0,0,19,0,0,0,13,5,0,0,2,22,0,0,47
14,14,248,1,12,0,0,105,0,0,0,0,72,0,0,0,0,0,0,0,113,22,0,0,0
15,15,248,1,12,0,0,105,0,0,0,0,1,0,0,0,3,7,0,0,2,22,0,0,0
16,16,248,1,12,0,0,105,0,0,0,0,53,9,0,0,27,7,0,0,1,11,0,0,0
17,17,248,1,12,0,0,106,0,0,0,1,0,10,0,0,65,4,0,0,1,11,0,0,0
18,18,248,1,12,0,0,106,0,0,0,0,61,12,0,0,38,8,0,0,1,11,0,0,0
19,19,248,1,12,0,0,106,0,0,0,1,27,16,0,0,67,4,0,0,1,11,0,0,0
20,20,248,1,12,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
21,21,248,1,12,0,0,108,0,0,0,0,96,5,0,0,60,3,0,0,2,22,0,0,0
22,22,248,1,12,0,0,108,0,0,0,1,4,9,0,0,55,5,0,0,972,22,0,0,0
23,23,248,1,12,0,0,108,0,0,0,0,85,0,0,0,0,3,0,0,1,11,0,0,0
24,24,248,1,12,0,0,109,0,0,0,1,9,10,0,0,65,7,0,0,1,11,0,0,0
25,25,248,1,12,0,0,109,0,0,0,0,94,18,0,0,60,4,0,0,1,11,0,0,0
26,26,248,1,12,0,0,110,0,0,0,0,32,6,0,0,17,5,0,0,2,22,0,0,32
27,27,248,1,12,0,0,110,0,0,0,0,1,0,0,0,2,7,0,0,2,22,0,0,0
28,28,248,1,12,0,0,110,0,0,0,0,58,10,0,0,28,7,0,0,1,11,0,0,0
29,29,248,1,12,0,0,110,0,0,0,0,50,10,0,0,25,3,0,0,1,11,0,0,37
30,30,248,1,12,0,0,111,0,0,0,0,66,14,0,0,30,7,0,0,1,11,0,0,0
