plot,id,tpa,history,species,dbh,diam_growth,height,top_height,ht_growth,crown_pct,damage1,damage2,damage3,damage4,damage5,damage6,mort_code,cut_code,pest1,pest2,pest3,pest4,pest5,birth_age
101,1,1,1,LP,11.5,1,73,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0
101,2,3,1,DF,0.1,0,2,0,0,6,0,0,0,0,0,0,2,2,2,0,0,0,0,0
102,3,1,1,WH,6.5,2.3,30,0,0,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0
102,4,1,1,WL,7.9,0.6,75,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0
103,7,1,1,GF,6.2,2,38,0,0,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0
103,9,1,1,LP,9.5,1.1,60,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0
104,10,1,1,DF,4,0,20,0,5,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0
106,17,1,1,DF,10,1,65,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0
106,19,1,1,DF,12.7,1.6,67,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0
109,25,1,1,DF,9.4,1.8,60,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0
